251	184	248	223	189	73	3
251	184	248	223	189	73	1
251	154	248	214	189	112	3
251	121	248	207	189	152	3
251	86	248	200	189	194	3
251	52	248	198	189	230	3
251	16	248	202	190	 6	3
250	237	248	205	190	38	3
250	203	248	216	190	61	3
250	172	248	230	190	78	3
250	172	248	230	190	78	2
251	130	249	16	189	78	3
251	130	249	16	189	78	1
251	107	249	52	189	65	3
251	87	249	86	189	51	3
251	67	249	123	189	34	3
251	39	249	161	189	24	3
251	12	249	209	189	 3	3
250	238	249	255	188	243	3
250	208	250	45	188	227	3
250	186	250	80	188	214	3
250	162	250	104	188	214	3
250	143	250	118	188	219	3
250	127	250	120	188	233	3
250	123	250	93	189	 8	3
250	119	250	72	189	33	3
250	113	250	50	189	61	3
250	107	250	30	189	87	3
250	95	250	11	189	118	3
250	85	249	244	189	151	3
250	71	249	224	189	185	3
250	60	249	199	189	221	3
250	60	249	173	189	247	3
250	71	249	145	190	 8	3
250	94	249	128	190	 2	3
250	114	249	112	189	254	3
250	114	249	112	189	254	2
251	49	248	238	189	193	3
251	49	248	238	189	193	1
251	36	249	11	189	177	3
251	26	249	31	189	167	3
251	11	249	59	189	154	3
250	252	249	87	189	141	3
250	238	249	116	189	126	3
250	225	249	146	189	109	3
250	211	249	171	189	98	3
250	196	249	201	189	83	3
250	196	249	201	189	83	2
250	185	248	250	190	45	3
250	185	248	250	190	45	1
250	172	249	33	190	19	3
250	163	249	57	190	 4	3
250	153	249	84	189	243	3
250	137	249	115	189	228	3
250	134	249	132	189	214	3
250	134	249	132	189	214	2
251	86	250	 4	188	134	3
251	86	250	 4	188	134	1
251	78	249	232	188	170	3
251	69	249	215	188	196	3
251	57	249	193	188	230	3
251	47	249	177	189	 0	3
251	33	249	151	189	40	3
251	14	249	135	189	75	3
250	251	249	116	189	113	3
250	224	249	98	189	158	3
250	201	249	86	189	193	3
250	175	249	78	189	227	3
250	143	249	72	190	 9	3
250	111	249	66	190	47	3
250	75	249	68	190	81	3
250	44	249	75	190	105	3
250	 9	249	102	190	113	3
249	247	249	139	190	94	3
249	232	249	171	190	77	3
249	224	249	202	190	54	3
249	210	249	241	190	29	3
249	197	250	16	190	11	3
249	185	250	46	189	249	3
249	185	250	46	189	249	2
